ID,Quote,Author,Characters,Wikipedia,Source
Q069,There will be obstacles. There will be doubters. There will be mistakes.,Michael Phelps,72,https://en.wikipedia.org/wiki/Michael_Phelps,https://www.indeed.com/career-advice/career-development/hard-work-quotes
Q070,"If you fail to prepare, you prepare to fail.",Mark Spitz,44,https://en.wikipedia.org/wiki/Mark_Spitz,https://thementalbarbell.com/motivational-quotes/
Q071,When you've got something to prove there's nothing greater than a challenge.,Terry Bradshaw,76,https://en.wikipedia.org/wiki/Terry_Bradshaw,https://gauravtiwari.substack.com/p/41-best-sports-quotes-of-all-time
Q072,"In the end, it's the effort that matters. The rest is beyond your control.",Maria Sharapova,74,https://en.wikipedia.org/wiki/Maria_Sharapova,https://www.today.com/life/quotes/sports-quotes-rcna155598
Q073,Losing is a learning experience. It teaches you humility.,Yogi Berra,57,https://en.wikipedia.org/wiki/Yogi_Berra,https://www.today.com/life/quotes/sports-quotes-rcna155598
Q074,"Don't make excuses. When you have decided to do something, do it.",Eliud Kipchoge,65,https://en.wikipedia.org/wiki/Eliud_Kipchoge,https://www.today.com/life/quotes/sports-quotes-rcna155598
Q075,"When somebody tells me I cannot do something, that's when I do it.",Gertrude Ederle,66,https://en.wikipedia.org/wiki/Gertrude_Ederle,https://www.today.com/life/quotes/sports-quotes-rcna155598
Q076,You have to keep your goal in mind and never lose sight of it.,George Foreman,62,https://en.wikipedia.org/wiki/George_Foreman,https://www.today.com/life/quotes/sports-quotes-rcna155598
Q077,You don't win by being good. You win with hard work and sacrifice.,Bobby Orr,66,https://en.wikipedia.org/wiki/Bobby_Orr,https://www.today.com/life/quotes/sports-quotes-rcna155598
Q078,"However great your dedication, you never win anything on your own.",Rafael Nadal,66,https://en.wikipedia.org/wiki/Rafael_Nadal,https://www.today.com/life/quotes/sports-quotes-rcna155598
Q079,It's hard to beat someone who never gives up.,Babe Ruth,45,https://en.wikipedia.org/wiki/Babe_Ruth,https://wisdomquotes.com/perseverance-quotes/
Q080,Never let the fear of striking out get in your way.,Babe Ruth,51,https://en.wikipedia.org/wiki/Babe_Ruth,https://www.calebwojcik.com/blog/2012/01/30/quotes-overcome-fear-of-failure
Q081,Success isn't permanent and failure isn't fatal.,Mike Ditka,48,https://en.wikipedia.org/wiki/Mike_Ditka,https://brightdrops.com/failure-quotes
Q082,Winners embrace hard work.,Lou Holtz,26,https://en.wikipedia.org/wiki/Lou_Holtz,https://www.brainyquote.com/topics/hard-work-quotes
Q083,Storms make trees take deeper roots.,Dolly Parton,36,https://en.wikipedia.org/wiki/Dolly_Parton,https://www.success.com/perseverance-quotes
Q084,You have power over your mind - not outside events.,Marcus Aurelius,51,https://en.wikipedia.org/wiki/Marcus_Aurelius,https://parade.com/living/stoic-quotes
Q085,"If it's not right, don't do it. If it's not true, don't say it.",Marcus Aurelius,63,https://en.wikipedia.org/wiki/Marcus_Aurelius,https://viastoica.com/10-marcus-aurelius-quotes-on-stoic-discipline/
Q086,"Receive without pride, let go without attachment.",Marcus Aurelius,49,https://en.wikipedia.org/wiki/Marcus_Aurelius,https://fourminutebooks.com/stoic-quotes/
Q087,You have to assemble your life yourself - action by action.,Marcus Aurelius,59,https://en.wikipedia.org/wiki/Marcus_Aurelius,https://viastoica.com/10-marcus-aurelius-quotes-on-stoic-discipline/
Q088,"If it's endurable, then endure it. Stop complaining.",Marcus Aurelius,52,https://en.wikipedia.org/wiki/Marcus_Aurelius,https://wisdomquotes.com/perseverance-quotes/
Q089,Luck is what happens when preparation meets opportunity.,Seneca,56,https://en.wikipedia.org/wiki/Seneca_the_Younger,https://parade.com/living/stoic-quotes
Q090,Our plans miscarry because they have no aim.,Seneca,44,https://en.wikipedia.org/wiki/Seneca_the_Younger,https://www.stoichandbook.co/stoic-quotes-on-discipline/
Q091,The pressure of adversity does not affect the mind of the brave man.,Seneca,68,https://en.wikipedia.org/wiki/Seneca_the_Younger,https://conantleadership.com/38-quotes-about-bravery-and-leadership/
Q092,"The greater the difficulty, the more the glory in surmounting it.",Epicurus,65,https://en.wikipedia.org/wiki/Epicurus,https://www.shopify.com/blog/motivational-quotes
Q093,Discipline is the bridge between goals and accomplishment.,Jim Rohn,58,https://en.wikipedia.org/wiki/Jim_Rohn,https://parade.com/living/stoic-quotes
Q094,Strong men believe in cause and effect.,Ralph Waldo Emerson,39,https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,https://bernardzitzer.com/list-quotes-courage/
Q095,Rule your mind or it will rule you.,Horace,35,https://en.wikipedia.org/wiki/Horace,https://orionphilosophy.com/discipline-quotes/
Q096,Self-control is the chief element in self-respect.,Thucydides,50,https://en.wikipedia.org/wiki/Thucydides,https://orionphilosophy.com/discipline-quotes/
Q097,The first and best victory is to conquer self.,Plato,46,https://en.wikipedia.org/wiki/Plato,https://viralbios.com/discipline-quotes-2/
Q098,You can never conquer the mountain. You can only conquer yourself.,Jim Whittaker,66,https://en.wikipedia.org/wiki/Jim_Whittaker,https://viralbios.com/discipline-quotes-2/
Q099,He who has a why to live can bear with almost any how.,Friedrich Nietzsche,54,https://en.wikipedia.org/wiki/Friedrich_Nietzsche,https://wisdomquotes.com/perseverance-quotes/
Q100,"It's not that I'm so smart, it's just that I stay with problems longer.",Albert Einstein,71,https://en.wikipedia.org/wiki/Albert_Einstein,https://wisdomquotes.com/perseverance-quotes/
Q101,Adversity is always the partner of progress.,John C. Maxwell,44,https://en.wikipedia.org/wiki/John_C._Maxwell,https://wisdomquotes.com/perseverance-quotes/
Q102,"Impatience with actions, patience with results.",Naval Ravikant,47,https://en.wikipedia.org/wiki/Naval_Ravikant,https://wisdomquotes.com/perseverance-quotes/
Q103,"The less pain we tolerate, the more average we become.",Jack Butcher,54,,https://wisdomquotes.com/perseverance-quotes/
Q104,Perseverance is not a long race; it is many short races one after another.,Walter Elliot,74,,https://www.invajy.com/perseverance-never-give-up-quotes/
Q105,It always seems impossible until it's done.,Nelson Mandela,43,https://en.wikipedia.org/wiki/Nelson_Mandela,https://brandongaille.com/perseverance-quotes/
Q106,My strength lies solely in my tenacity.,Louis Pasteur,39,https://en.wikipedia.org/wiki/Louis_Pasteur,https://www.capcut.com/resource/perseverance-quotes
Q107,Believe you can and you're halfway there.,Theodore Roosevelt,41,https://en.wikipedia.org/wiki/Theodore_Roosevelt,https://www.capcut.com/resource/perseverance-quotes
Q108,With self-discipline most anything is possible.,Theodore Roosevelt,47,https://en.wikipedia.org/wiki/Theodore_Roosevelt,https://viralbios.com/discipline-quotes-2/
Q109,"I am a slow walker, but I never walk back.",Abraham Lincoln,42,https://en.wikipedia.org/wiki/Abraham_Lincoln,https://www.capcut.com/resource/perseverance-quotes
Q110,Energy and persistence conquer all things.,Benjamin Franklin,42,https://en.wikipedia.org/wiki/Benjamin_Franklin,https://www.capcut.com/resource/perseverance-quotes
Q111,Do not fear mistakes. You will know failure. Continue to reach out.,Benjamin Franklin,67,https://en.wikipedia.org/wiki/Benjamin_Franklin,https://blog.hubspot.com/sales/learning-from-failure-quotes
Q112,"Tough times never last, but tough people do.",Robert H. Schuller,44,https://en.wikipedia.org/wiki/Robert_H._Schuller,https://www.success.com/perseverance-quotes
Q113,The man who moves a mountain begins by carrying away small stones.,Confucius,66,https://en.wikipedia.org/wiki/Confucius,https://www.invajy.com/perseverance-never-give-up-quotes/
Q114,Character consists of what you do on the third and fourth tries.,James A. Michener,64,https://en.wikipedia.org/wiki/James_A._Michener,https://brandongaille.com/perseverance-quotes/
Q115,Giving up is the only sure way to fail.,Gena Showalter,39,https://en.wikipedia.org/wiki/Gena_Showalter,https://brandongaille.com/perseverance-quotes/
Q116,All great achievements require time.,Maya Angelou,36,https://en.wikipedia.org/wiki/Maya_Angelou,https://brandongaille.com/perseverance-quotes/
Q117,The basis of accomplishment is in never quitting.,Mengzi,49,https://en.wikipedia.org/wiki/Mencius,https://brandongaille.com/perseverance-quotes/
Q118,The best way out is always through.,Robert Frost,35,https://en.wikipedia.org/wiki/Robert_Frost,https://brandongaille.com/perseverance-quotes/
Q119,What is now proved was once only imagined.,William Blake,42,https://en.wikipedia.org/wiki/William_Blake,https://brandongaille.com/perseverance-quotes/
Q120,Burdens are for shoulders strong enough to carry them.,Margaret Mitchell,54,https://en.wikipedia.org/wiki/Margaret_Mitchell,https://brandongaille.com/perseverance-quotes/
Q121,It's always too soon to quit!,Norman Vincent Peale,29,https://en.wikipedia.org/wiki/Norman_Vincent_Peale,https://www.invajy.com/perseverance-never-give-up-quotes/
Q122,I was taught the way of progress is neither swift nor easy.,Marie Curie,59,https://en.wikipedia.org/wiki/Marie_Curie,https://www.invajy.com/perseverance-never-give-up-quotes/
Q123,For water continually dropping will wear hard rocks hollow.,Plutarch,59,https://en.wikipedia.org/wiki/Plutarch,https://brandongaille.com/perseverance-quotes/
Q124,There is no substitute for hard work.,Thomas A. Edison,37,https://en.wikipedia.org/wiki/Thomas_Edison,https://www.brainyquote.com/topics/hard-work-quotes
